Include,Index,Color,Sensor Location,Sensor Type,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Dissoc. Loc.,Loading Well Location,Loading Sample ID,Cycle,Conc. (nM),KD (M),Response,KD Error,kon(1/Ms),kon Error,kdis(1/s),kdis Error,RMax,RMax Error,kobs(1/s),Req,Req/Rmax(%),Full X^2,Full R^2,SSG KD,SSG Rmax,SSG R^2,
x,0,-32704,A1,HIS1K (Anti-Penta-HIS),,N/A,A9,A10,,A9,A2,,1,12.5,2.748E-09,0.0543,1.132E-10,8.271E05,3.045E04,2.273E-03,4.204E-05,0.1202,0.0029,1.261E-02,0.0985,82.0,0.1013,0.7983, , , ,
x,1,-32704,B1,HIS1K (Anti-Penta-HIS),,N/A,B9,B10,,B9,B2,,1,25,2.748E-09,0.0692,1.132E-10,8.271E05,3.045E04,2.273E-03,4.204E-05,0.1008,0.0016,2.295E-02,0.0908,90.1,0.1013,0.7983, , , ,
x,2,-32704,C1,HIS1K (Anti-Penta-HIS),,N/A,C9,C10,,C9,C2,,1,50,2.748E-09,0.0501,1.132E-10,8.271E05,3.045E04,2.273E-03,4.204E-05,0.0749,0.0008,4.363E-02,0.071,94.8,0.1013,0.7983, , , ,
x,3,-32704,D1,HIS1K (Anti-Penta-HIS),,N/A,D9,D10,,D9,D2,,1,100,2.748E-09,0.0498,1.132E-10,8.271E05,3.045E04,2.273E-03,4.204E-05,0.0637,0.0006,8.498E-02,0.062,97.3,0.1013,0.7983, , , ,
x,4,-16760704,E1,HIS1K (Anti-Penta-HIS),,N/A,E9,E10,,E9,E2,,1,12.5,3.173E-08,-0.0013,5.155E-09,2.103E05,3.308E04,6.671E-03,2.700E-04,0, ,9.300E-03,0,28.3,0.2099,0.6774, , , ,
x,5,-16760704,F1,HIS1K (Anti-Penta-HIS),,N/A,F9,F10,,F9,F2,,1,25,3.173E-08,0.0096,5.155E-09,2.103E05,3.308E04,6.671E-03,2.700E-04,0.0585,0.0084,1.193E-02,0.0258,44.1,0.2099,0.6774, , , ,
x,6,-16760704,G1,HIS1K (Anti-Penta-HIS),,N/A,G9,G10,,G9,G2,,1,50,3.173E-08,0.0174,5.155E-09,2.103E05,3.308E04,6.671E-03,2.700E-04,0.0645,0.0072,1.718E-02,0.0395,61.2,0.2099,0.6774, , , ,
x,7,-16760704,H1,HIS1K (Anti-Penta-HIS),,N/A,H9,H10,,H9,H2,,1,100,3.173E-08,0.0438,5.155E-09,2.103E05,3.308E04,6.671E-03,2.700E-04,0.0719,0.0054,2.770E-02,0.0546,75.9,0.2099,0.6774, , , ,
