Include,Index,Color,Sensor Location,Sensor Type,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Dissoc. Loc.,Loading Well Location,Loading Sample ID,Cycle,Conc. (nM),KD (M),Response,KD Error,kon(1/Ms),kon Error,kdis(1/s),kdis Error,RMax,RMax Error,kobs(1/s),Req,Req/Rmax(%),Full X^2,Full R^2,SSG KD,SSG Rmax,SSG R^2,
x,0,-32704,A1,HIS1K (Anti-Penta-HIS),,N/A,A5,A6,,A5,A2,,1,12.5,1.828E-09,0.1985,4.819E-11,1.471E06,3.576E04,2.690E-03,2.747E-05,0.2881,0.0035,2.108E-02,0.2514,87.2,0.851,0.945, , , ,
x,1,-32704,B1,HIS1K (Anti-Penta-HIS),,N/A,B5,B6,,B5,B2,,1,25,1.828E-09,0.248,4.819E-11,1.471E06,3.576E04,2.690E-03,2.747E-05,0.2796,0.0022,3.947E-02,0.2606,93.2,0.851,0.945, , , ,
x,2,-32704,C1,HIS1K (Anti-Penta-HIS),,N/A,C5,C6,,C5,C2,,1,50,1.828E-09,0.3391,4.819E-11,1.471E06,3.576E04,2.690E-03,2.747E-05,0.3249,0.0018,7.626E-02,0.3134,96.5,0.851,0.945, , , ,
x,3,-32704,D1,HIS1K (Anti-Penta-HIS),,N/A,D5,D6,,D5,D2,,1,100,1.828E-09,0.5628,4.819E-11,1.471E06,3.576E04,2.690E-03,2.747E-05,0.4626,0.0018,1.498E-01,0.4543,98.2,0.851,0.945, , , ,
x,4,-8355585,E1,HIS1K (Anti-Penta-HIS),,N/A,E5,E6,,E5,E2,,1,12.5,2.386E-09,0.1453,6.218E-11,1.120E06,2.661E04,2.674E-03,2.868E-05,0.2081,0.0032,1.668E-02,0.1747,84.0,0.6424,0.9486, , , ,
x,5,-8355585,F1,HIS1K (Anti-Penta-HIS),,N/A,F5,F6,,F5,F2,,1,25,2.386E-09,0.2088,6.218E-11,1.120E06,2.661E04,2.674E-03,2.868E-05,0.2398,0.0022,3.069E-02,0.2189,91.3,0.6424,0.9486, , , ,
x,6,-8355585,G1,HIS1K (Anti-Penta-HIS),,N/A,G5,G6,,G5,G2,,1,50,2.386E-09,0.3402,6.218E-11,1.120E06,2.661E04,2.674E-03,2.868E-05,0.3255,0.0018,5.870E-02,0.3107,95.4,0.6424,0.9486, , , ,
x,7,-8355585,H1,HIS1K (Anti-Penta-HIS),,N/A,H5,H6,,H5,H2,,1,100,2.386E-09,0.4531,6.218E-11,1.120E06,2.661E04,2.674E-03,2.868E-05,0.3757,0.0016,1.147E-01,0.3669,97.7,0.6424,0.9486, , , ,
